"actor_2","count","Group","groupid","rule"
"GGG",3,"Retalialtion Group 1","Group 1","Retaliation"
"OBB",2,"Retalialtion Group 1","Group 1","Retaliation"
"OGO",1,"Retalialtion Group 1","Group 1","Retaliation"
"OOP",1,"Retalialtion Group 1","Group 1","Retaliation"
"OPP",1,"Retalialtion Group 1","Group 1","Retaliation"
"PGG",4,"Retalialtion Group 1","Group 1","Retaliation"
"POP",2,"Retalialtion Group 1","Group 1","Retaliation"
"PPO",1,"Retalialtion Group 1","Group 1","Retaliation"
"BBB",0,"Retalialtion Group 1","Group 1","Retaliation"
"BOB",0,"Retalialtion Group 1","Group 1","Retaliation"
"GGO",0,"Retalialtion Group 1","Group 1","Retaliation"
"GOO",0,"Retalialtion Group 1","Group 1","Retaliation"
"GOP",0,"Retalialtion Group 1","Group 1","Retaliation"
"GPG",0,"Retalialtion Group 1","Group 1","Retaliation"
"OOO",0,"Retalialtion Group 1","Group 1","Retaliation"
"PBB",0,"Retalialtion Group 1","Group 1","Retaliation"
"PBO",0,"Retalialtion Group 1","Group 1","Retaliation"
"POO",0,"Retalialtion Group 1","Group 1","Retaliation"
"PPP",0,"Retalialtion Group 1","Group 1","Retaliation"
"BBB",0,"Retaliation Group 2","Group 2","Retaliation"
"BOB",0,"Retaliation Group 2","Group 2","Retaliation"
"GGP",0,"Retaliation Group 2","Group 2","Retaliation"
"GPO",0,"Retaliation Group 2","Group 2","Retaliation"
"OOO",0,"Retaliation Group 2","Group 2","Retaliation"
"OPO",0,"Retaliation Group 2","Group 2","Retaliation"
"OPP",0,"Retaliation Group 2","Group 2","Retaliation"
"PBO",0,"Retaliation Group 2","Group 2","Retaliation"
"PGG",0,"Retaliation Group 2","Group 2","Retaliation"
"POP",0,"Retaliation Group 2","Group 2","Retaliation"
"PPO",0,"Retaliation Group 2","Group 2","Retaliation"
"OGO",3,"Retaliation Group 3","Group 3","Retaliation"
"POO",2,"Retaliation Group 3","Group 3","Retaliation"
"BBO",0,"Retaliation Group 3","Group 3","Retaliation"
"GGG",0,"Retaliation Group 3","Group 3","Retaliation"
"GOO",0,"Retaliation Group 3","Group 3","Retaliation"
"GOP",0,"Retaliation Group 3","Group 3","Retaliation"
"GPG",0,"Retaliation Group 3","Group 3","Retaliation"
"OBB",0,"Retaliation Group 3","Group 3","Retaliation"
"PBP",0,"Retaliation Group 3","Group 3","Retaliation"
"PPP",0,"Retaliation Group 3","Group 3","Retaliation"
"OOP",0,"Retaliation Group 3","Group 3","Retaliation"
"BBB",23,"Pile-on Group 1","Group 1","Pile-on"
"BOB",10,"Pile-on Group 1","Group 1","Pile-on"
"GGG",4,"Pile-on Group 1","Group 1","Pile-on"
"GGO",7,"Pile-on Group 1","Group 1","Pile-on"
"GOO",7,"Pile-on Group 1","Group 1","Pile-on"
"GOP",14,"Pile-on Group 1","Group 1","Pile-on"
"GPG",16,"Pile-on Group 1","Group 1","Pile-on"
"OBB",5,"Pile-on Group 1","Group 1","Pile-on"
"OGO",11,"Pile-on Group 1","Group 1","Pile-on"
"OOO",9,"Pile-on Group 1","Group 1","Pile-on"
"OOP",9,"Pile-on Group 1","Group 1","Pile-on"
"OPP",7,"Pile-on Group 1","Group 1","Pile-on"
"PBB",7,"Pile-on Group 1","Group 1","Pile-on"
"PBO",4,"Pile-on Group 1","Group 1","Pile-on"
"PGG",3,"Pile-on Group 1","Group 1","Pile-on"
"POO",11,"Pile-on Group 1","Group 1","Pile-on"
"POP",25,"Pile-on Group 1","Group 1","Pile-on"
"PPO",3,"Pile-on Group 1","Group 1","Pile-on"
"PPP",10,"Pile-on Group 1","Group 1","Pile-on"
"BBB",21,"Pile-on Group 2","Group 2","Pile-on"
"BOB",18,"Pile-on Group 2","Group 2","Pile-on"
"GPO",12,"Pile-on Group 2","Group 2","Pile-on"
"OOO",4,"Pile-on Group 2","Group 2","Pile-on"
"OPO",27,"Pile-on Group 2","Group 2","Pile-on"
"PBO",24,"Pile-on Group 2","Group 2","Pile-on"
"PGG",10,"Pile-on Group 2","Group 2","Pile-on"
"POP",19,"Pile-on Group 2","Group 2","Pile-on"
"PPO",13,"Pile-on Group 2","Group 2","Pile-on"
"GGP",0,"Pile-on Group 2","Group 2","Pile-on"
"OPP",0,"Pile-on Group 2","Group 2","Pile-on"
"BBO",41,"Pile-on Group 3","Group 3","Pile-on"
"GGG",36,"Pile-on Group 3","Group 3","Pile-on"
"GOO",12,"Pile-on Group 3","Group 3","Pile-on"
"GOP",8,"Pile-on Group 3","Group 3","Pile-on"
"GPG",14,"Pile-on Group 3","Group 3","Pile-on"
"OBB",3,"Pile-on Group 3","Group 3","Pile-on"
"OGO",5,"Pile-on Group 3","Group 3","Pile-on"
"PBP",9,"Pile-on Group 3","Group 3","Pile-on"
"POO",2,"Pile-on Group 3","Group 3","Pile-on"
"PPP",8,"Pile-on Group 3","Group 3","Pile-on"
"OOP",0,"Pile-on Group 3","Group 3","Pile-on"
"BOB",25,"Pass-along Group 1","Group 1","Pass-along"
"GGG",7,"Pass-along Group 1","Group 1","Pass-along"
"GGO",22,"Pass-along Group 1","Group 1","Pass-along"
"GOO",37,"Pass-along Group 1","Group 1","Pass-along"
"GOP",28,"Pass-along Group 1","Group 1","Pass-along"
"GPG",31,"Pass-along Group 1","Group 1","Pass-along"
"OBB",19,"Pass-along Group 1","Group 1","Pass-along"
"OGO",28,"Pass-along Group 1","Group 1","Pass-along"
"OOO",12,"Pass-along Group 1","Group 1","Pass-along"
"OOP",1,"Pass-along Group 1","Group 1","Pass-along"
"OPP",34,"Pass-along Group 1","Group 1","Pass-along"
"PBB",21,"Pass-along Group 1","Group 1","Pass-along"
"PBO",11,"Pass-along Group 1","Group 1","Pass-along"
"POO",45,"Pass-along Group 1","Group 1","Pass-along"
"POP",4,"Pass-along Group 1","Group 1","Pass-along"
"PPO",8,"Pass-along Group 1","Group 1","Pass-along"
"PPP",6,"Pass-along Group 1","Group 1","Pass-along"
"BBB",0,"Pass-along Group 1","Group 1","Pass-along"
"PGG",0,"Pass-along Group 1","Group 1","Pass-along"
"BBB",74,"Pass-along Group 2","Group 2","Pass-along"
"BOB",42,"Pass-along Group 2","Group 2","Pass-along"
"GGP",1,"Pass-along Group 2","Group 2","Pass-along"
"GPO",27,"Pass-along Group 2","Group 2","Pass-along"
"OOO",19,"Pass-along Group 2","Group 2","Pass-along"
"OPO",2,"Pass-along Group 2","Group 2","Pass-along"
"PBO",1,"Pass-along Group 2","Group 2","Pass-along"
"PGG",43,"Pass-along Group 2","Group 2","Pass-along"
"POP",65,"Pass-along Group 2","Group 2","Pass-along"
"PPO",36,"Pass-along Group 2","Group 2","Pass-along"
"OPP",0,"Pass-along Group 2","Group 2","Pass-along"
"BBO",2,"Pass-along Group 3","Group 3","Pass-along"
"GGG",8,"Pass-along Group 3","Group 3","Pass-along"
"GOO",52,"Pass-along Group 3","Group 3","Pass-along"
"GOP",50,"Pass-along Group 3","Group 3","Pass-along"
"GPG",55,"Pass-along Group 3","Group 3","Pass-along"
"OBB",13,"Pass-along Group 3","Group 3","Pass-along"
"OGO",22,"Pass-along Group 3","Group 3","Pass-along"
"PBP",48,"Pass-along Group 3","Group 3","Pass-along"
"POO",6,"Pass-along Group 3","Group 3","Pass-along"
"PPP",47,"Pass-along Group 3","Group 3","Pass-along"
"BOB",43,"Opportunism Group 1","Group 1","Opportunism"
"GGG",3,"Opportunism Group 1","Group 1","Opportunism"
"GOO",2,"Opportunism Group 1","Group 1","Opportunism"
"GOP",2,"Opportunism Group 1","Group 1","Opportunism"
"OBB",8,"Opportunism Group 1","Group 1","Opportunism"
"OGO",10,"Opportunism Group 1","Group 1","Opportunism"
"OOO",17,"Opportunism Group 1","Group 1","Opportunism"
"OOP",40,"Opportunism Group 1","Group 1","Opportunism"
"OPP",6,"Opportunism Group 1","Group 1","Opportunism"
"PBB",9,"Opportunism Group 1","Group 1","Opportunism"
"PGG",16,"Opportunism Group 1","Group 1","Opportunism"
"POO",32,"Opportunism Group 1","Group 1","Opportunism"
"PPO",1,"Opportunism Group 1","Group 1","Opportunism"
"PPP",13,"Opportunism Group 1","Group 1","Opportunism"
"BBB",0,"Opportunism Group 1","Group 1","Opportunism"
"GGO",0,"Opportunism Group 1","Group 1","Opportunism"
"GPG",0,"Opportunism Group 1","Group 1","Opportunism"
"PBO",0,"Opportunism Group 1","Group 1","Opportunism"
"POP",0,"Opportunism Group 1","Group 1","Opportunism"
"POP",15,"Opportunism Group 2","Group 2","Opportunism"
"PPO",2,"Opportunism Group 2","Group 2","Opportunism"
"BBB",0,"Opportunism Group 2","Group 2","Opportunism"
"BOB",0,"Opportunism Group 2","Group 2","Opportunism"
"GGP",0,"Opportunism Group 2","Group 2","Opportunism"
"GPO",0,"Opportunism Group 2","Group 2","Opportunism"
"OOO",0,"Opportunism Group 2","Group 2","Opportunism"
"OPO",0,"Opportunism Group 2","Group 2","Opportunism"
"OPP",0,"Opportunism Group 2","Group 2","Opportunism"
"PBO",0,"Opportunism Group 2","Group 2","Opportunism"
"PGG",0,"Opportunism Group 2","Group 2","Opportunism"
"GOO",17,"Opportunism Group 3","Group 3","Opportunism"
"OBB",1,"Opportunism Group 3","Group 3","Opportunism"
"OGO",2,"Opportunism Group 3","Group 3","Opportunism"
"PBP",8,"Opportunism Group 3","Group 3","Opportunism"
"POO",1,"Opportunism Group 3","Group 3","Opportunism"
"BBO",0,"Opportunism Group 3","Group 3","Opportunism"
"GGG",0,"Opportunism Group 3","Group 3","Opportunism"
"GOP",0,"Opportunism Group 3","Group 3","Opportunism"
"GPG",0,"Opportunism Group 3","Group 3","Opportunism"
"PPP",0,"Opportunism Group 3","Group 3","Opportunism"
"BBB",45,"Punishment Group 1","Group 1","Punishment"
"BOB",5,"Punishment Group 1","Group 1","Punishment"
"GGO",6,"Punishment Group 1","Group 1","Punishment"
"GOO",9,"Punishment Group 1","Group 1","Punishment"
"GOP",9,"Punishment Group 1","Group 1","Punishment"
"GPG",23,"Punishment Group 1","Group 1","Punishment"
"OBB",8,"Punishment Group 1","Group 1","Punishment"
"OGO",11,"Punishment Group 1","Group 1","Punishment"
"OOO",5,"Punishment Group 1","Group 1","Punishment"
"OPP",2,"Punishment Group 1","Group 1","Punishment"
"PBB",8,"Punishment Group 1","Group 1","Punishment"
"PBO",1,"Punishment Group 1","Group 1","Punishment"
"POO",17,"Punishment Group 1","Group 1","Punishment"
"POP",19,"Punishment Group 1","Group 1","Punishment"
"GGG",0,"Punishment Group 1","Group 1","Punishment"
"OOP",0,"Punishment Group 1","Group 1","Punishment"
"PGG",0,"Punishment Group 1","Group 1","Punishment"
"PPO",0,"Punishment Group 1","Group 1","Punishment"
"PPP",0,"Punishment Group 1","Group 1","Punishment"
"BBB",4,"Punishment Group 2","Group 2","Punishment"
"BOB",2,"Punishment Group 2","Group 2","Punishment"
"GPO",4,"Punishment Group 2","Group 2","Punishment"
"OPO",5,"Punishment Group 2","Group 2","Punishment"
"PBO",3,"Punishment Group 2","Group 2","Punishment"
"GGP",0,"Punishment Group 2","Group 2","Punishment"
"OOO",0,"Punishment Group 2","Group 2","Punishment"
"OPP",0,"Punishment Group 2","Group 2","Punishment"
"PGG",0,"Punishment Group 2","Group 2","Punishment"
"POP",0,"Punishment Group 2","Group 2","Punishment"
"PPO",0,"Punishment Group 2","Group 2","Punishment"
"BBO",11,"Punishment Group 3","Group 3","Punishment"
"GGG",6,"Punishment Group 3","Group 3","Punishment"
"GOO",2,"Punishment Group 3","Group 3","Punishment"
"GOP",2,"Punishment Group 3","Group 3","Punishment"
"PBP",1,"Punishment Group 3","Group 3","Punishment"
"GPG",0,"Punishment Group 3","Group 3","Punishment"
"OBB",0,"Punishment Group 3","Group 3","Punishment"
"OGO",0,"Punishment Group 3","Group 3","Punishment"
"POO",0,"Punishment Group 3","Group 3","Punishment"
"PPP",0,"Punishment Group 3","Group 3","Punishment"
